,StationId,R,Lat,Lng,toV_u30,frV_u30,toV_3060,frV_3060,toV_6090,frV_6090,toV_o90,frV_o90
2391,229,1.6207985090287285,10.800074,106.675025,0.14785008047827086,0.13704299839043457,0.515520809381467,0.49942515520809383,0.21959071050816278,0.2522418946884341,0.07978845711657852,0.1014026212922511
2392,4755,2.227037850410678,10.798345,106.680567,0.2025753046677397,0.14968958381237066,0.5235686364681535,0.49482639687284435,0.17291331340538055,0.2347666130144861,0.06323292710968038,0.11037020004598758
2393,4756,2.4890879052597548,10.795194,106.682605,0.1671648654863187,0.16647505173603128,0.5387445389744769,0.49942515520809383,0.18762934007817889,0.21821108300758796,0.06944125086226718,0.10623131754426304
2394,4757,2.8245161474478477,10.793081,106.685277,0.18211083007587953,0.16164635548401932,0.5146010577144171,0.5042538514601058,0.19245803633019085,0.21798114509082547,0.07404000919751667,0.106691193377788
2395,231,3.169678684291696,10.790939,106.68795,0.16946424465394344,0.18923890549551622,0.5086226718785928,0.49620602437341915,0.20487468383536445,0.20004598758335249,0.080018395033341,0.1048516900436882
2396,234,3.4964866463954807,10.788972,106.690445,0.20004598758335249,0.18739940216141643,0.5049436652103932,0.5051736031271556,0.18234076799264198,0.19153828466314096,0.07449988503104162,0.10508162796045067
2397,236,4.658052991238039,10.78191,106.69902,0.2009657392504024,0.14095194297539665,0.4925270177052196,0.47873074269947113,0.18808921591170383,0.2513221430213842,0.07978845711657852,0.11772821338238676
2398,41,4.302521821308481,10.784297,106.696526,0.16946424465394344,0.1786617613244424,0.5260979535525409,0.5044837893768682,0.1832605196596919,0.19981604966659003,0.08254771211772821,0.1057714417107381
2399,43,3.7758973739541455,10.787427,106.692599,0.20004598758335249,0.17820188549091745,0.5295470223039779,0.4913773281214072,0.15497815589790756,0.21223269717176363,0.07679926419866635,0.10692113129455047
2400,46,3.4830359371600723,10.789215,106.690399,0.2099333180041389,0.1696941825707059,0.5125316164635548,0.49206714187169465,0.1618762934007818,0.21959071050816278,0.07794895378247874,0.10830075879512531
2401,47,3.2787522081202454,10.790456,106.688843,0.2152218900896758,0.15175902506323294,0.5118418027132674,0.49620602437341915,0.15980685214991952,0.2320073580133364,0.07564957461485398,0.10991032421246263
2402,45,2.7600947627134147,10.79365,106.68481,0.17636238215681765,0.1581972867325822,0.5077029202115428,0.49850540354104395,0.19774660841572775,0.22993791676247413,0.0809381467003909,0.10347206254311336
2403,49,2.5361659312857228,10.795062,106.683018,0.19981604966659003,0.13543343297309726,0.5132214302138423,0.5060933547942056,0.1761324442400552,0.24396412968498504,0.0738100712807542,0.1048516900436882
2404,48,2.266405160232573,10.79795,106.680905,0.16509542423545642,0.18004138882501725,0.5143711197976546,0.5136813060473672,0.2044148080018395,0.20395493216831456,0.07840882961600368,0.09197516670498965
2405,50,2.1781493504576934,10.799713,106.680138,0.19245803633019085,0.12140722005058634,0.5380547252241895,0.49827546562428143,0.1662451138192688,0.2550011496895838,0.06507243044378018,0.11450908254771212
2406,51,2.1052514104327864,10.802232,106.679245,0.1982064842492527,0.133363991722235,0.5387445389744769,0.49827546562428143,0.16026672798344446,0.24672338468613475,0.06599218211083008,0.11220970338008737
2407,52,2.1315824847779825,10.805259,106.678759,0.18096114049206713,0.14279144630949644,0.5435732352264888,0.502874223959531,0.16854449298689353,0.23683605426534834,0.06967118877902966,0.1076109450448379
2408,53,2.1789324777705463,10.807077,106.678528,0.18418027132674178,0.11174982754656243,0.5343757185559899,0.49643596229018166,0.17452287882271786,0.26718785927799493,0.06967118877902966,0.1147390204644746
2409,54,2.3486243457592413,10.810349,106.67856,0.17751207174063002,0.12301678546792366,0.5274775810531157,0.4978155897907565,0.18464014716026672,0.25845021844102095,0.07335019544722925,0.111060013796275
2410,55,2.492595493170366,10.812475,106.678711,0.16992412048746838,0.10002299379167624,0.5185100022993792,0.49482639687284435,0.19682685674867786,0.2738560588641067,0.07679926419866635,0.12071740630029892
2411,58,3.8609131922920823,10.828991,106.678775,0.11519889629799954,0.08139802253391584,0.5249482639687284,0.43780179351575077,0.24258450218441022,0.32030351805012647,0.0790986433662911,0.12186709588411129
2412,62,4.095872766611243,10.832547,106.676699,0.11496895838123707,0.06392274085996781,0.5100022993791676,0.4099793055874914,0.25982984594159575,0.3442170613934238,0.07748907794895378,0.14371119797654633
2413,67,4.4067735524230125,10.836114,106.67561,0.1057714417107381,0.07656932628190388,0.49574614853989424,0.42975396642906416,0.27960450678316856,0.32927109680386296,0.08116808461715337,0.1262359163025983
2414,63,4.742697223074082,10.839297,106.67583,0.10163255920901357,0.08116808461715337,0.49114739020464476,0.43136353184640147,0.28696252011956774,0.3272016555530007,0.08208783628420327,0.12163715796734882
2415,72,5.088806548523262,10.842268,106.676833,0.10784088296160037,0.05817429294090595,0.4922970797884571,0.40308116808461714,0.2851230167854679,0.3575534605656473,0.07725914003219131,0.1432513221430214
2416,64,5.633373594315947,10.84691,106.678496,0.0853069671188779,0.056334789606806164,0.4890779489537825,0.39158427224649345,0.298229478040929,0.36721085306967116,0.09013566337088987,0.14716026672798344
2417,4754,5.8737539563272945,10.849117,106.678802,0.0880662221200276,0.07105081627960451,0.5017245343757185,0.42193607725914,0.2853529547022304,0.3616923430673718,0.08760634628650264,0.1076109450448379
2418,73,6.258450183172399,10.852642,106.679285,0.08898597378707748,0.07771901586571625,0.49459645895608184,0.4304437801793516,0.2825936997010807,0.35065532306277303,0.09703380087376408,0.1039319383766383
2419,213,6.771028441546041,10.857331,106.679907,0.1039319383766383,0.06392274085996781,0.4835594389514831,0.3844561968268567,0.3071970567946654,0.39848240974936766,0.06852149919521729,0.11588871004828696
2420,68,7.619620864744748,10.865217,106.680433,0.06484249252701771,0.044607955851919984,0.46631409519429756,0.35410439181421016,0.35042538514601057,0.4168774430903656,0.08139802253391584,0.14693032881122098
2421,74,7.886520459141233,10.86831,106.678319,0.06254311335939296,0.03977925959990802,0.45918601977466084,0.3478960680616234,0.3538744538974477,0.42331570475971486,0.08760634628650264,0.15175902506323294
2422,69,8.180639462152216,10.871371,106.676978,0.05840423085766843,0.038859507932858126,0.4380317314325132,0.328811220970338,0.3697401701540584,0.4366521039319384,0.09680386295700161,0.15842722464934467
2423,70,8.622653963637791,10.875454,106.677032,0.050126465854219364,0.033111060013796274,0.3964129684985054,0.32283283513451366,0.4019314785008048,0.43504253851460106,0.11450908254771212,0.17176362382156818
2424,71,8.978485223604443,10.878493,106.678201,0.04644745918601977,0.03564037709818349,0.3738790526557829,0.33501954472292483,0.4150379397562658,0.4292940905955392,0.1271556679696482,0.16233616923430674
2425,77,9.24962151572959,10.880785,106.679188,0.045987583352494824,0.015405840423085767,0.3596229018165095,0.1991262359163026,0.4251552080938147,0.4718326051965969,0.1315244883881352,0.2756955621982065
2426,7121,9.082544439233311,10.878862,106.680728,0.037939756265808235,0.01563577833984824,0.34720625431133595,0.2628190388595079,0.4329730972637388,0.48217981145090827,0.14371119797654633,0.2009657392504024
2428,2699,6.344236827936369,10.795267,106.718094,0.043688204184870086,0.13543343297309726,0.5010347206254311,0.49045757645435734,0.29110140262129225,0.23729593009887331,0.1262359163025983,0.1271556679696482
2429,2702,5.606681614936616,10.789477,106.710522,0.08898597378707748,0.13750287422395954,0.5180501264658542,0.48401931478500804,0.25293170843872154,0.24396412968498504,0.10324212462635088,0.12508622671878591
2430,2703,5.440406081006874,10.784149,106.707555,0.13566337088985975,0.1653253621522189,0.5134513681306048,0.48424925270177055,0.21292251092205106,0.23016785467923662,0.10071280754196367,0.11037020004598758
2431,1095,5.104456843409839,10.784286,106.704363,0.10807082087836284,0.18211083007587953,0.43550241434812603,0.49091745228788225,0.31340538054725225,0.2097033800873764,0.10255231087606347,0.106691193377788
2432,2704,4.447639042116748,10.781862,106.696874,0.1883191538284663,0.17038399632099333,0.4833295010347206,0.5065532306277305,0.19958611174982754,0.20395493216831456,0.08944584962060244,0.10715106921131294
2433,2706,4.119106172534662,10.784012,106.694573,0.17981145090825476,0.19314785008047827,0.5148309956311796,0.5074729822947804,0.18464014716026672,0.18555989882731663,0.08162796045067831,0.10209243504253851
2434,2707,3.946369118894179,10.78514,106.69335,0.19176822257990342,0.15336859048057025,0.5325362152218901,0.5086226718785928,0.15428834214762013,0.21660151759025062,0.08208783628420327,0.10945044837893769
2435,2710,3.718209501813041,10.786589,106.691703,0.21430213842262588,0.21798114509082547,0.5173603127155668,0.5049436652103932,0.14991952172913314,0.17084387215451827,0.0790986433662911,0.0942745458726144
2436,3176,3.6250551694602464,10.786916,106.690918,0.22786847551161185,0.18372039549321684,0.497585651873994,0.4968958381237066,0.15612784548171993,0.20349505633478962,0.07955851919981605,0.10439181421016326
2437,2708,3.353071325689532,10.778584,106.682616,0.1625661071510692,0.20119567716716485,0.5093124856288802,0.5044837893768682,0.20878362842032652,0.186709588411129,0.08047827086686594,0.09611404920671418
2438,2711,2.51731583789757,10.78163,106.674741,0.18624971257760406,0.16739480340308116,0.5180501264658542,0.48677856978615774,0.18992871924580362,0.24235456426764773,0.06829156127845482,0.0933547942055645
