node,totDeg,nLines,nServices,cbHops,cbDist,cbTime,toV_u30,toV_3060,toV_6090,toV_u60,toV_u90,toV_o90
7577,2,1,63,0.0011008571977509534,0.16454988066574058,0.001590070549732158,0.1181880892159117,0.5681765923200736,0.18004138882501725,0.6863646815359853,0.8664060703610025,0.12830535755346056
1723,2,1,63,0.019526224894642067,0.037544102666322514,0.030444585366049444,0.2968498505403541,0.44286042768452516,0.15773741089905727,0.7397102782248793,0.8974476891239366,0.09588411128995171
1724,2,1,63,0.037162388736647234,0.033954785414876267,0.02303501824663135,0.2660381696941826,0.45872614394113587,0.16831455507013107,0.7247643136353185,0.8930788687054495,0.1004828696252012
3159,2,1,63,0.037162388736647234,0.033954785414876267,0.02303501824663135,0.25408139802253393,0.4640147160266728,0.1724534375718556,0.7180961140492067,0.8905495516210623,0.102322372959301
4337,2,1,63,0.037162388736647234,0.033954785414876267,0.02303501824663135,0.23614624051506095,0.4720625431133594,0.1795815129914923,0.7082087836284203,0.8877902966199126,0.10508162796045067
7293,2,1,63,0.004424814101898517,0.011177115205671596,0.004471139277593933,0.23016785467923662,0.47045297769602207,0.19130834674637848,0.7006208323752586,0.8919291791216372,0.10186249712577604
7292,2,1,63,0.005100649773004156,0.011177115205671596,0.0045107606340979494,0.21062313175442632,0.4775810531156588,0.19935617383306506,0.6882041848700851,0.8875603587031502,0.10554150379397563
3478,3,2,168,0.006110592526768786,0.006943442951978271,0.007995071311460605,0.25845021844102095,0.48194987353414576,0.146470452977696,0.7404000919751667,0.8868705449528628,0.10646125546102553
3477,2,1,100,0.001282438902983111,0.2710073825176617,0.0021855323628854288,0.23016785467923662,0.4913773281214072,0.160036790066682,0.7215451828006438,0.8815819728673259,0.11128995171303747
7304,2,2,120,0.005221564688084099,0.008168606937866644,0.007136571843180671,0.18211083007587953,0.4690733501954472,0.22097033800873764,0.6511841802713267,0.8721545182800644,0.12209703380087376
3528,2,1,60,0.01610001055380439,0.011791658628128455,0.011443329179528951,0.1147390204644746,0.45182800643826165,0.28903196137042997,0.5665670269027363,0.8555989882731663,0.13888250172453437
3530,2,1,60,0.009088208491345541,0.014328716312727746,0.016215405362557618,0.09565417337318924,0.4472292481030122,0.3046677397102782,0.5428834214762014,0.8475511611864797,0.14693032881122098
1242,2,1,60,0.2256348593110595,0.1482313464437245,0.06298978340661479,0.08852609795355254,0.39802253391584275,0.3437571855598988,0.4865486318693953,0.8303058174292941,0.16371579673488157
3529,2,1,60,0.018685783320146147,0.08243489890718163,0.07875365989239565,0.16463554840193148,0.4559668889399862,0.24465394343527247,0.6206024373419177,0.8652563807771901,0.128995171303748
3532,2,1,60,0.018455771675193692,0.07887618812405489,0.05769758078447891,0.13681306047367212,0.46102552310876066,0.26097953552540815,0.5978385835824327,0.8588181191078409,0.133363991722235
3531,2,1,60,0.018455771675193692,0.07887618812405489,0.05769758078447891,0.12600597838583583,0.46171533685904803,0.26787767302828236,0.5877213152448839,0.8555989882731663,0.13750287422395954
3535,2,1,60,0.018685783320146147,0.08243489890718163,0.07875365989239565,0.10807082087836284,0.46447459186019774,0.2775350655323063,0.5725454127385606,0.8500804782708669,0.14187169464244653
3166,4,2,109,0.04543434365815722,0.11649074590342375,0.07549261800456346,0.293400781788917,0.4557369510232237,0.13888250172453437,0.7491377328121407,0.8880202345366751,0.10439181421016326
3519,2,1,60,0.02639635812086333,0.057687803184302076,0.05011870192471709,0.2775350655323063,0.4628650264428604,0.146470452977696,0.7404000919751667,0.8868705449528628,0.10600137962750057
3521,2,1,60,0.02639635812086333,0.057687803184302076,0.05011870192471709,0.2660381696941826,0.46769372269487236,0.15037939756265808,0.733731892389055,0.8841112899517131,0.10830075879512531
3523,2,1,60,0.051025304695611125,0.0531854534612484,0.03906238185873278,0.24120487468383536,0.4764313635318464,0.164405610485169,0.7176362382156818,0.8820418487008508,0.1119797654633249
3524,2,1,60,0.051025304695611125,0.0531854534612484,0.03906238185873278,0.22602897217751208,0.4810301218670959,0.17199356173833066,0.707059094044608,0.8790526557829386,0.1147390204644746
7070,2,1,60,0.0011000937738967571,0.0018997680112114,0.06332935631915207,0.12324672338468613,0.4479190618532996,0.2770751896987813,0.5711657852379858,0.8482409749367671,0.1457806392274086
3526,2,1,60,0.0011000937738967571,0.13047798303787975,0.06332935631915207,0.06599218211083008,0.4499885031041619,0.31547482179811454,0.515980685214992,0.8314555070131064,0.1625661071510692
3525,2,1,60,0.009420787865359955,0.014487628289271238,0.016252809102504404,0.050816279604506784,0.36054265348355946,0.391354334329731,0.4113589330880662,0.8027132674177972,0.1919981604966659
3527,2,1,60,0.008071934885034729,0.013862198044333194,0.011802763620538448,0.04391814210163256,0.33984824097493677,0.40653023683605427,0.38376638307656935,0.7902966199126236,0.20418487008507702
7604,2,2,136,0.023401391496699456,0.03376879501549162,0.02819225396311218,0.05817429294090595,0.4853989422855829,0.30167854679236605,0.5435732352264888,0.8452517820188549,0.14945964589560817
7603,2,1,68,0.0387251836128012,0.030350597190311662,0.02099844160812309,0.05173603127155668,0.48034030811680845,0.3088066222120028,0.5320763393883652,0.8408829616003679,0.1538284663140952
7601,2,1,68,0.020300709067828684,0.03376879501549162,0.02794462048496208,0.039089445849620603,0.4642446539434353,0.32605196596918834,0.5033340997930559,0.8293860657622442,0.16555530006898136
7602,2,1,68,0.023401391496699456,0.03376879501549162,0.02819225396311218,0.0328811220970338,0.449068751437112,0.3389284893078869,0.48194987353414576,0.8208783628420326,0.17314325132214303
2004,2,1,68,0.009376769256923791,0.014863549467702616,0.014113807155851041,0.1191078408829616,0.5212692573005289,0.23338698551391124,0.6403770981834904,0.8737640836974017,0.1191078408829616
3484,2,1,68,0.01500509585422676,0.01415443624175526,0.011630009769781605,0.1101402621292251,0.5224189468843412,0.240055185100023,0.6325592090135663,0.8726143941135893,0.12163715796734882
3567,2,1,68,0.01500509585422676,0.01415443624175526,0.011630009769781605,0.09749367670728903,0.519889629799954,0.24787307426994712,0.617383306507243,0.8652563807771901,0.12922510922051048
3571,2,1,68,0.0065767316043673025,0.010848268456523796,0.012735610309153121,0.12646585421936077,0.5065532306277305,0.22970797884571165,0.6330190848470912,0.8627270636928029,0.1308346746378478
3569,2,1,68,0.005705315213254964,0.010848268456523796,0.012623743997174431,0.11335939296389974,0.5090825477121177,0.2363761784318234,0.6224419406760174,0.8588181191078409,0.13520349505633478
3572,2,1,68,0.005705315213254964,0.010848268456523796,0.012623743997174431,0.1014026212922511,0.5079328581283054,0.2451138192687974,0.6093354794205564,0.8544492986893538,0.13980225339158428
3570,2,1,68,0.005635085942440386,0.01037994920768292,0.009248579559029257,0.08990572545412738,0.5074729822947804,0.2515520809381467,0.5973787077489078,0.8489307886870545,0.14601057714417107
3573,2,1,68,0.009273830672266942,0.008468965396285319,0.008517410625428884,0.07725914003219131,0.5017245343757185,0.26258910094274546,0.5789836744079099,0.8415727753506553,0.15175902506323294
3580,2,1,68,0.004962887520880156,0.0064480768893487896,0.00682700705792534,0.2257990342607496,0.44217061393423773,0.20326511841802714,0.6679696481949874,0.8712347666130145,0.12301678546792366
3581,2,1,68,0.0035689137614707267,0.008731432329677134,0.010548717959009205,0.21016325592090135,0.44929868935387446,0.20947344217061392,0.6594619452747759,0.8689353874453898,0.1253161646355484
3480,2,1,68,0.004938785668760109,0.009906737959662078,0.009641548397546213,0.1581972867325822,0.5033340997930559,0.21430213842262588,0.661531386525638,0.8758335249482639,0.11841802713267417
3479,2,1,68,0.004938785668760109,0.009906737959662078,0.009641548397546213,0.13681306047367212,0.5104621752126925,0.22349965509312486,0.6472752356863647,0.8707748907794896,0.1234766613014486
4277,2,1,68,0.005634831467822321,0.010353142395588566,0.008842424229058373,0.11841802713267417,0.4718326051965969,0.2527017705219591,0.5902506323292711,0.8429524028512302,0.15037939756265808
4278,2,1,68,0.006576434606010891,0.010820252183202544,0.012176320531249368,0.10807082087836284,0.47045297769602207,0.2616693492756956,0.578523798574385,0.8401931478500805,0.15428834214762013
4279,2,1,68,0.006576434606010891,0.010820252183202544,0.012176320531249368,0.08507702920211543,0.47137272936307195,0.2761554380317314,0.5564497585651874,0.8326051965969188,0.16141641756725683
4280,2,1,68,0.00927331078042524,0.00844221898731957,0.00806579168391742,0.07817889169924121,0.47160266727983446,0.28121407220050587,0.5497815589790757,0.8309956311795815,0.16325592090135663
3481,2,1,68,0.006576434606010891,0.010820252183202544,0.012176320531249368,0.0666819958611175,0.4686134743619223,0.2888020234536675,0.5352954702230398,0.8240974936767073,0.16923430673718096
3483,2,1,68,0.015899807010468003,0.011960652292328226,0.011790638349563705,0.15681765923200736,0.4943665210393194,0.2149919521729133,0.6511841802713267,0.8661761324442401,0.12784548171993562
1973,2,1,68,0.002444288539927287,0.017320486876902002,0.017424499354815406,0.11841802713267417,0.502874223959531,0.23062773051276156,0.6212922510922051,0.8519199816049666,0.14095194297539665
7607,2,1,68,0.020050818581227658,0.03231099769241688,0.020473169121609156,0.08737640836974017,0.5065532306277305,0.26787767302828236,0.5939296389974706,0.861807312025753,0.1322143021384226
7606,2,1,68,0.020050818581227658,0.03231099769241688,0.020473169121609156,0.07817889169924121,0.5024143481260059,0.2770751896987813,0.5805932398252471,0.8576684295240286,0.13727293630719706
7605,2,1,68,0.020300709067828684,0.03376879501549162,0.02794462048496208,0.06323292710968038,0.48930788687054494,0.2950103472062543,0.5525408139802254,0.8475511611864797,0.14716026672798344
545,2,1,75,0.013010813230415544,0.08628391532350001,0.01326533573270371,0.03541043918142102,0.529087146470453,0.2862727063692803,0.564497585651874,0.8507702920211543,0.1439411358933088
549,2,1,75,0.013010813230415544,0.08628391532350001,0.01326533573270371,0.03150149459645896,0.5120717406300299,0.29891929179121635,0.5435732352264888,0.8424925270177053,0.15175902506323294
550,2,1,75,0.00755727537189282,0.09235771177776574,0.01845197839885853,0.025982984594159576,0.49091745228788225,0.3163945734651644,0.5169004368820419,0.8332950103472062,0.1607266038169694
552,2,1,75,0.007464249497094536,0.08837063362075216,0.013518540163800056,0.02437341917682226,0.47781099103242125,0.32559209013566337,0.5021844102092435,0.8277765003449069,0.16601517590250633
554,2,1,75,0.007464249497094536,0.08837063362075216,0.013518540163800056,0.021384226258910094,0.4548171993561738,0.34076799264198665,0.47620142561508394,0.8169694182570706,0.17636238215681765
559,2,1,75,0.0199238150495171,0.03852052896504552,0.010079889551581218,0.04253851460105772,0.5102322372959301,0.297769602207404,0.5527707518969878,0.8505403541043918,0.1439411358933088
561,2,1,75,0.0199238150495171,0.03852052896504552,0.010079889551581218,0.029202115428834215,0.48470912853529546,0.32237295930098875,0.5139112439641297,0.8362842032651184,0.1572775350655323
565,2,1,75,0.01084799849351026,0.040499380147402314,0.01065376673231313,0.023223729593009886,0.4693032881122097,0.3368590480570246,0.4925270177052196,0.8293860657622442,0.16486548631869397
